gene	driver_citations	oncogene_citations	tumor_suppressor_citations	all_citations
MARK2	0	96	0	96
HGF	10	59	0	69
KLF5	0	15	14	29
LOX	3	13	13	29
MAP2K7	7	17	2	26
EPHA2	2	20	1	23
IRF1	0	6	16	22
USP9X	0	8	9	17
RELA	2	13	1	16
BRD7	0	0	14	14
ING1	0	1	12	13
TRAF3	0	1	12	13
FOXA2	0	1	11	12
RBM38	0	4	7	11
TCF4	0	6	4	10
KDM3B	0	1	8	9
RIPK1	1	8	0	9
SMARCA1	2	1	6	9
RRAS2	1	7	0	8
SATB1	1	7	0	8
SOX17	1	2	5	8
RNF6	0	5	2	7
SUSD2	0	1	6	7
TOP2A	1	6	0	7
AJUBA	0	4	2	6
RASA1	0	0	6	6
DHX9	0	5	0	5
DIS3	1	1	3	5
DTX1	0	3	2	5
EGR2	0	4	1	5
ATG7	3	1	0	4
DOT1L	2	2	0	4
FBLN1	0	0	4	4
IKZF3	2	1	1	4
KLHL6	1	1	2	4
NEFH	0	0	4	4
PTPN14	0	0	4	4
ARHGAP35	0	2	1	3
EHD2	0	0	3	3
KMT2B	0	0	3	3
PRR14	0	3	0	3
SIN3A	0	1	2	3
SOS1	0	3	0	3
DAZAP1	0	1	1	2
FN1	0	2	0	2
GTF2I	0	2	0	2
HLA-B	0	2	0	2
MEF2B	0	2	0	2
NFKBIA	0	0	2	2
NPRL2	0	0	2	2
PARP4	0	0	2	2
POU2F2	1	0	1	2
TGIF1	0	1	1	2
ZFP36L1	0	0	2	2
ALB	1	0	0	1
ATF7IP	1	0	0	1
BMPR2	0	1	0	1
CD58	0	0	1	1
ESRRA	0	1	0	1
GNA13	1	0	0	1
INO80	0	1	0	1
IRAK1	0	1	0	1
LDB1	0	1	0	1
NRP1	0	0	1	1
NXF1	0	0	1	1
PRKCD	0	1	0	1
PTMA	0	0	1	1
RASA2	0	0	1	1
RBM39	0	1	0	1
RPS6KA3	0	1	0	1
RXRA	1	0	0	1
TFAP4	0	1	0	1
ZBTB7B	0	1	0	1
