gene	nr_patients	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	degree	closeness	betweenness	eigenvector	kcore	clusteringcoeff	leverage	information	bridging	average_neighbors	class
SDHAF4	13.0	0.0	0.0	0.0	0.0	10.0	2.0	0.0	1.0	0.0	0.00021099272075113408	0.2581540747688237	3.1939674803512087e-06	7.349153862719335e-06	3	0.0	-0.6082	0.0001044515115827854	2.0450981477601243e-06	40.25	
PPP1R13B	91.0	7.0	2.0	2.0	0.0	73.0	6.0	0.0	1.0	0.0	0.003956113514083764	0.3468582687324207	0.0001885750031838408	0.0021868608651574857	38	0.043963963963963966	0.0717	0.00021839195992729462	9.848694489594215e-07	114.50666666666666	
PHRF1	166.0	5.0	3.0	2.0	0.0	149.0	6.0	0.0	1.0	0.0	0.00010549636037556704	0.2835419619970789	2.256742299458982e-06	4.5762197071984775e-05	2	0.0	-0.8112	6.932468759246387e-05	9.844462581823502e-06	147.0	
DGKA	63.0	3.0	0.0	0.0	0.0	54.0	4.0	0.0	2.0	0.0	0.0008967190631923199	0.31484511550691696	9.15144004006194e-06	0.0005025429490998604	16	0.0661764705882353	-0.6942	0.00018356729803754165	2.5566606597171656e-06	197.41176470588238	
SBK2	35.0	1.0	0.0	0.0	0.0	32.0	2.0	0.0	0.0	0.0	5.274818018778352e-05	0.29032272036145523	0.0	0.00011188729234750811	1	0.0	-0.9961	4.29469550860183e-05	0.0	512.0	
ILKAP	46.0	2.0	4.0	1.0	0.0	33.0	5.0	0.0	1.0	0.0	0.0002637409009389176	0.30100709208505744	1.5535447109776705e-07	0.00018088567965765406	5	0.3	-0.9464	0.0001230615515253823	1.1232747097326451e-06	223.6	
LOXL3	70.0	5.0	0.0	0.0	0.0	59.0	4.0	0.0	2.0	0.0	0.00031648908112670115	0.3219286614080434	5.997809509948091e-05	0.0004205195738639097	4	0.2	-0.5176	0.00012553233577555312	1.3033790444954256e-05	391.33333333333326	
HS3ST3B1	27.0	0.0	0.0	0.0	0.0	26.0	1.0	0.0	0.0	0.0	0.0006329781622534022	0.2875666177994138	4.529522493902577e-07	7.475178637719398e-05	12	0.09090909090909093	-0.6857	0.00016851024749128818	1.9537556523237555e-07	76.16666666666667	
SGPL1	49.0	1.0	0.0	0.0	0.0	38.0	6.0	0.0	4.0	0.0	0.0017406899461968562	0.30784080900578586	2.820450946052249e-05	0.0001009390460078093	22	0.02083333333333333	-0.0807	0.0002034515157225917	6.914742980030277e-07	61.12121212121213	
PROSER3	47.0	0.0	0.0	0.0	0.0	44.0	1.0	1.0	1.0	0.0	0.00042198544150226817	0.29227098409805125	2.4461857626596114e-06	0.00013600097175171967	7	0.07142857142857142	-0.6208	0.0001467898270277886	7.545888935497941e-07	99.875	
PPP3CA	72.0	2.0	1.0	1.0	0.0	56.0	8.0	0.0	4.0	0.0	0.0049583289376516505	0.34789886907482265	0.00027932437855109234	0.0020849341601253566	45	0.10867078471745596	0.1123	0.00022091439555767007	8.814650134789877e-07	120.30851063829788	false_positive
LCE3C	8.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0029011499103280933	0.32127751562996343	8.669007654299992e-06	0.0006005155236576943	41	0.3824915824915825	-0.2944	0.00021422720829795584	2.3585261959592252e-07	143.14545454545456	
FAM47E-STBD1	37.0	0.0	0.0	0.0	0.0	35.0	1.0	0.0	0.0	1.0	0.00010549636037556704	0.2511298474062453	6.725747256245203e-07	2.9951910127427934e-06	2	0.0	-0.4744	5.8565005646952164e-05	6.553292198392765e-07	39.0	
RBL2	92.0	10.0	3.0	0.0	0.0	68.0	8.0	1.0	2.0	0.0	0.00464183985652495	0.3544952524253721	0.0001296217362852538	0.0048830075869860995	53	0.18782654127481715	-0.1175	0.00022036667730347846	7.38063118424972e-07	202.9090909090909	
LLPH	9.0	0.0	0.0	0.0	0.0	8.0	1.0	0.0	0.0	0.0	0.00021099272075113408	0.2724108110130464	9.39933743863674e-07	4.1651350996288056e-05	4	0.0	-0.5273	0.00010485067505806438	6.79148524315769e-07	44.5	
BTN2A2	62.0	2.0	0.0	0.0	0.0	52.0	5.0	0.0	3.0	0.0	0.002320919928262475	0.3217642583125929	0.00010462568201438288	0.0003362799165250644	29	0.080338266384778	-0.225	0.00021006305856154404	2.123565574744551e-06	113.97727272727272	
CYB5R3	25.0	2.0	0.0	0.0	0.0	22.0	1.0	0.0	0.0	0.0	0.0034813798923937125	0.3265052400085205	0.00036965699503748367	0.0003641013791655231	30	0.0662004662004662	0.146	0.00021649028760684015	2.2392352288372497e-06	72.37878787878788	
THEM5	24.0	0.0	0.0	0.0	0.0	21.0	3.0	0.0	0.0	0.0	0.00015824454056335058	0.2727882202068531	7.233440883749102e-07	1.3997791997346705e-05	3	0.0	-0.8646	9.264456398385548e-05	3.267662855033338e-06	61.0	
FBXL4	56.0	1.0	0.0	0.0	0.0	50.0	3.0	1.0	1.0	0.0	0.005327566198966136	0.3328351561792056	1.9577356551253e-06	0.004594104033110888	85	0.8865346534653465	-0.1577	0.00022172897845971186	2.4831873955292582e-08	176.990099009901	
HLA-DRB1	11.0	0.0	0.0	0.0	0.0	10.0	1.0	0.0	0.0	0.0	0.01018039877624222	0.3660915973538361	0.0005022005539460189	0.004775950908533271	62	0.19678324697754748	0.2499	0.0002263641019748797	8.3657947871292e-07	151.73575129533683	
PRPF31	31.0	0.0	0.0	0.0	0.0	29.0	2.0	0.0	0.0	0.0	0.014927734993142738	0.3702217438611185	0.0008537941959194767	0.06133393545159568	160	0.3458386587474626	0.2464	0.0002280276588946681	8.896267415879688e-07	198.86925795053003	
SLC46A3	51.0	6.0	2.0	0.0	0.0	39.0	3.0	0.0	1.0	0.0	5.274818018778352e-05	0.26693274239639136	0.0	2.5275358671369024e-05	1	0.0	-0.9929	4.288652818288076e-05	0.0	279.0	
RAB39A	22.0	0.0	1.0	0.0	0.0	20.0	1.0	0.0	0.0	0.0	0.0011604599641312375	0.3111088657203823	1.6579206929758845e-05	0.0003153376033123251	20	0.2554112554112554	-0.5469	0.0001922501303378997	1.4838924759951598e-06	121.22727272727272	
KIAA1107	34.0	4.0	0.0	0.0	0.0	29.0	1.0	0.0	0.0	0.0	0.00010549636037556704	0.270314923698957	4.3311711759366236e-08	7.267655983024582e-05	2	0.0	-0.9547	7.196291081952649e-05	9.284712818676313e-07	115.0	
MOV10	76.0	1.0	0.0	1.0	0.0	68.0	4.0	0.0	2.0	0.0	0.0006329781622534022	0.29187383385947197	2.1714970206880627e-06	0.0005587182830562653	11	0.3787878787878788	-0.4002	0.0001667768364398542	3.4755732447316473e-07	61.58333333333334	
SLC23A1	48.0	1.0	3.0	0.0	0.0	41.0	1.0	0.0	2.0	0.0	0.0015824454056335055	0.3366407479131109	2.5449341457424506e-05	0.0008871843422733295	28	0.31264367816091954	-0.7137	0.0002018992414083633	4.415985138012499e-06	294.96666666666664	
RWDD3	21.0	0.0	0.0	0.0	0.0	19.0	2.0	0.0	0.0	0.0	0.00031648908112670115	0.31070486808095976	1.720704205600027e-07	0.00039033984397698245	6	0.6666666666666666	-0.8379	0.00013279962003360797	2.8623862984322326e-07	251.5	
ACOX1	51.0	2.0	1.0	2.0	0.0	38.0	6.0	0.0	1.0	1.0	0.0008967190631923199	0.31091952091609804	1.2359464572480535e-05	0.0003924491472466071	16	0.3308823529411765	-0.6507	0.00018321946026452396	2.7562702304879642e-06	135.29411764705878	
SMG8	115.0	3.0	1.0	2.0	0.0	97.0	12.0	0.0	0.0	0.0	0.005644055280092836	0.3326945587357787	8.40280863189101e-10	0.01343800346749884	107	0.9998236642567448	-0.3002	0.0002223349100976155	1.4072382472787905e-11	222.8878504672897	
CEP95	61.0	2.0	0.0	1.0	0.0	53.0	5.0	0.0	0.0	0.0	0.0009494672433801034	0.32495042642254923	6.4700370644757755e-06	0.001024058595963616	18	0.05882352941176471	-0.7962	0.00018600853680368704	3.0546293828783766e-06	233.0	
TIE1	154.0	6.0	4.0	0.0	0.0	130.0	12.0	2.0	0.0	0.0	0.0008967190631923199	0.3332811664387422	1.281395567192121e-05	0.0006485494019094093	17	0.15441176470588236	-0.7776	0.00018378655105937694	4.930657679720903e-06	285.23529411764713	
FOXD4L1	34.0	1.0	0.0	0.0	0.0	30.0	3.0	0.0	0.0	0.0	0.0012659563245068044	0.3279839210593824	1.3804032138959387e-05	0.0008616564082439147	23	0.10144927536231883	-0.6411	0.00019542619271904955	1.8323327201628841e-06	178.83333333333337	
CCDC25	14.0	1.0	0.0	0.0	0.0	11.0	2.0	0.0	0.0	0.0	0.00021099272075113408	0.28164081048027634	7.192389955581403e-07	5.3641477122036294e-05	4	0.0	-0.9303	0.00010986832430277848	4.9362704824344524e-06	135.5	
IK	46.0	1.0	0.0	0.0	0.0	34.0	7.0	0.0	4.0	0.0	0.002057179027323557	0.3380616556896119	3.2351974506631046e-05	0.004090637842441019	32	0.09176788124156546	-0.42	0.00020788065454655668	1.4159715075202844e-06	165.12820512820514	
PNOC	17.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	1.0	0.0	0.0004747336216900517	0.2940075804478585	9.80392135580148e-10	0.0002427377943920101	9	0.9722222222222222	-0.9169	0.00015541831058176592	2.3383731007133467e-09	405.33333333333326	
MYEF2	70.0	1.0	0.0	1.0	0.0	59.0	7.0	0.0	2.0	0.0	0.0007384745226289692	0.3140604352270173	6.2677607380430395e-06	0.00035817990389650384	14	0.07692307692307693	-0.7242	0.0001758139106957208	2.486762767400656e-06	171.21428571428572	
PDGFRB	126.0	2.0	0.0	1.0	0.0	110.0	7.0	0.0	6.0	0.0	0.014663994092203819	0.3818208535415265	0.0006729387303595737	0.008201490517271894	66	0.12134119419266033	0.3734	0.00022796430034517108	5.68380876983953e-07	168.80575539568346	driver
KHSRP	72.0	2.0	2.0	0.0	0.0	57.0	4.0	0.0	7.0	0.0	0.0024791644688258252	0.3537654424317955	9.695282177558576e-05	0.003093231538287972	36	0.14708603145235893	-0.3772	0.00021158610132876685	3.257846256384892e-06	217.27659574468086	
KCNJ13	26.0	0.0	1.0	0.0	0.0	24.0	0.0	0.0	0.0	1.0	0.0008967190631923199	0.2640761316965166	7.875620437497227e-09	5.062913669717843e-05	17	0.9705882352941176	-0.3564	0.00018179511645001172	8.87440812019918e-10	46.0	
VAMP5	10.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.003428631712205929	0.33629935157408936	0.0001974490129243534	0.0006140715838854043	30	0.07211538461538461	-0.0516	0.0002165671894338109	1.774995565331353e-06	114.63076923076923	
ACTR3B	41.0	1.0	0.0	0.0	0.0	36.0	2.0	0.0	2.0	0.0	0.0010549636037556704	0.30707065687460633	7.149166695874881e-06	0.0006663246929819036	17	0.6842105263157895	-0.6039	0.00018918231179156967	9.241931871998985e-07	177.4	
CELF1	51.0	1.0	1.0	0.0	0.0	43.0	5.0	0.0	1.0	0.0	0.00042198544150226817	0.30347662125027325	1.2657356627989687e-06	0.0008816203731356789	8	0.17857142857142858	-0.7743	0.00014867566256250732	1.181882975734808e-06	145.25	
HLX	76.0	0.0	0.0	0.0	0.0	73.0	3.0	0.0	0.0	0.0	0.0016879417660090727	0.3370729774162895	1.8980679066129013e-05	0.0010511887701915776	29	0.17338709677419356	-0.5761	0.00020343649257272003	1.771545876072473e-06	187.5625	
NKAIN4	20.0	1.0	0.0	0.0	0.0	18.0	1.0	0.0	0.0	0.0	5.274818018778352e-05	0.2510931515372583	0.0	3.5686812586285012e-06	1	0.0	-0.9762	4.25461969127636e-05	0.0	83.0	
TTYH2	43.0	0.0	1.0	0.0	0.0	37.0	2.0	0.0	2.0	1.0	0.0005802299820656187	0.3107252984378825	3.4579440647715637e-06	0.000334673256684056	11	0.6909090909090909	-0.8543	0.00016524673515455187	3.953930330256068e-06	167.54545454545453	
