gene	average_neighbors
ITGA7	126.91964285714286
CHRNA1	155.4814814814815
FHL2	140.5
FHL3	97.55828220858896
MYOC	89.18
PCNA	116.71294559099437
SRC	147.78415300546447
FLNA	170.3960396039604
ACTB	127.2433962264151
ACTG1	113.89020771513353
FYN	132.40602582496413
ITGB1	134.56598240469208
TLN1	142.7910447761194
VASP	187.43589743589743
BCAR1	188.9016393442623
CRK	137.34255319148937
CRKL	182.38028169014083
ITGB2	133.15537848605578
ITGB3	154.9817518248175
ITGB4	163.22641509433961
ITGB5	126.30593607305936
ITGB6	130.49664429530202
ITGB7	133.55769230769232
ITGB8	129.97278911564626
ITGBL1	134.78125
RELN	191.9811320754717
PTK2	164.1367292225201
COMP	183.46808510638297
TNC	163.109375
TNR	107.75
MICALL1	131.72222222222223
LAMB1	121.21875
VWF	177.02597402597402
ACTN1	128.63809523809525
ACTN3	124.73480662983425
PXN	174.38735177865613
VCL	127.7663043478261
ACTBL2	132.78947368421052
ACTN2	112.30622009569377
ACTN4	135.7012987012987
CAV1	171.0839416058394
COL10A1	158.43661971830986
COL11A1	142.7027027027027
COL11A2	153.64705882352942
COL12A1	155.8939393939394
COL13A1	167.32758620689654
COL14A1	164.91044776119404
COL15A1	161.140625
COL16A1	169.22413793103448
COL17A1	146.57894736842104
COL19A1	176.01818181818183
COL1A1	167.6
COL1A2	163.8728813559322
COL2A1	139.26732673267327
COL3A1	153.5934065934066
COL4A1	135.62745098039215
COL4A2	144.16363636363636
COL4A3	145.1011235955056
COL4A4	143.32530120481928
COL4A5	138.08474576271186
COL4A6	153.0379746835443
COL5A1	141.74358974358975
COL5A2	151.72307692307692
COL5A3	154.453125
COL6A1	140.90721649484536
COL6A2	153.4794520547945
COL6A3	158.10526315789474
COL7A1	153.22429906542055
COL8A1	140.5072463768116
COL8A2	163.68055555555554
COL9A1	158.1764705882353
COL9A2	163.73333333333332
COL9A3	164.71428571428572
FLNB	161.1214953271028
FLNC	184.57142857142858
FN1	158.20762711864407
CHAD	171.43478260869566
CIB2	236.0
COL6A5	152.89655172413794
COL6A6	157.64285714285714
DKFZP666O0110	196.49664429530202
DKFZP686K04147	163.23076923076923
DKFZP686O12165	159.65625
IBSP	149.96774193548387
ITGA8	123.25196850393701
LAMA1	112.2909090909091
LAMA2	156.5609756097561
LAMA3	137.57142857142858
LAMA4	161.47457627118644
LAMA5	135.56060606060606
LAMB2	132.74074074074073
LAMB3	136.53061224489795
LAMB4	146.57142857142858
LAMC1	131.48101265822785
LAMC2	148.9857142857143
LAMC3	127.25
LIMS1	125.640625
LIMS2	152.41935483870967
PARVA	132.98924731182797
PARVB	132.83333333333334
PARVG	150.48387096774192
POTEKP	123.13245033112582
PTK2B	185.5
SPP1	185.56060606060606
THBS1	176.8842105263158
THBS2	145.08823529411765
THBS3	156.82758620689654
THBS4	149.6451612903226
TLN2	149.0
TNN	170.125
TNXB	151.96774193548387
VTN	160.16
XB	170.125
CHRNE	29.333333333333332
CHRNG	182.67857142857142
CHRND	114.27272727272727
LILRB3	122.43478260869566
JAK2	167.1918465227818
PAK2	220.41509433962264
PAK4	196.6
AGRN	106.93827160493827
ARHGEF6	188.37037037037038
GNB1	67.14023210831722
DMD	106.74468085106383
GNGT1	67.53543307086615
GNAQ	101.99047619047619
ARHGEF7	235.03773584905662
DAG1	154.83333333333334
PAK3	177.02380952380952
PAK5	150.88
PAK6	199.69230769230768
RAPSN	175.6
SLURP1	16.176470588235293
SLURP2	13.625
ZFYVE9	168.03636363636363
AR	188.81435643564356
CREBBP	146.67875647668393
EP300	115.23551829268293
TTN	82.61616161616162
PFKM	245.96428571428572
ATXN1	74.03651685393258
FHL1	166.97435897435898
PSEN2	110.36842105263158
HAND1	160.35714285714286
ITGA3	123.99253731343283
FHL5	106.72448979591837
WT1	188.72368421052633
SFPQ	192.2774193548387
ZNF638	151.96
ZBTB16	161.1043956043956
REV1	259.62068965517244
