gene	betweenness
-	0.002542311027489209
16-5-5	3.580784530751136e-08
A0A024QYV7	1.094400334422224e-06
A0A024R5Q1	8.038506772506662e-07
A0A024RA76	9.430412429858716e-08
A0A087WWM3	0.0
A0A384ME25	3.713529723276102e-07
A0A4E0W6L3	0.0
A1BG	3.6062737476791015e-05
A1CF	4.9499444902851994e-05
A2A284	3.225083398552023e-09
A2ABK9	0.0
A2AE51	0.0
A2BHY8	0.0
A2M	0.000988773432291797
A2NUT2	0.0
A4GNT	6.222936889244533e-06
A6NCI0	8.619277332514615e-08
A6ND79	0.0
A6NG51	1.0827978307610088e-05
A6NKH4	0.0
A6NLP3	0.0
A6NLR5	1.5066627267563084e-05
A6NN06	0.0
A6NN80	0.0
A6PW31	1.6361542064897104e-07
A6XND8	0.0
A7E1Y8	0.0
A8K008	6.684597685648166e-06
A8K147	0.0
A8K1F4	0.0005433457388700488
A8K1V4	0.0
A8K251	2.05741963598105e-07
A8K2I7	7.878701489102787e-08
A8K2R3	7.836759388502401e-07
A8K379	7.788573881885288e-08
A8K3Q9	0.0
A8K4Y7	0.0
A8K5H9	3.810283212046685e-05
A8K5M4	0.0
A8K673	0.0
A8K6G4	0.0
A8K6K1	1.4362686495743908e-06
A8K6V0	1.8355260616724563e-07
A8K8G8	5.6555071976047294e-08
A8K8Y5	0.0
A8K900	0.0
A8K932	6.989692850652021e-07
A8K940	0.0
A8K9C1	0.0
A8KA83	8.357419646404809e-07
A8KAG1	0.0
A8MTJ1	4.540518480617178e-05
A8MWX0	0.0
A9C4B2	3.702957183585425e-07
A9R9P8	1.7145074290912085e-08
AAAS	4.995057038558357e-05
AACS	0.0
AADAC	0.0
AAG1	3.4019266285773237e-06
AAGAB	8.490589216423255e-07
AAK1	5.620231807228754e-05
AAMDC	9.75789429635962e-08
AAMP	6.9206268898600644e-06
AANAT	7.450483141783682e-06
AAR2	3.6910007676457875e-06
AARD	5.372950605323593e-06
AARS	1.7657662157989164e-06
AARS1	4.23449087380527e-07
AARS2	9.229921760416074e-07
AARSD1	0.0006946512916045086
AASDHPPT	5.080994812403958e-06
AASS	0.0
AATF	0.0002018287800215941
AATK	5.251435786455598e-07
ABAT	1.564136138636897e-06
ABCA1	0.00046586554651064684
ABCA12	0.0
ABCA2	1.1603210999638516e-06
ABCA4	0.0
ABCA5	1.7973986889175162e-07
ABCA7	0.0
ABCB1	2.9601886752754616e-05
ABCB11	9.067010096522817e-07
ABCB4	2.792076419887549e-06
ABCB5	6.819805842823949e-08
ABCB6	2.58677739824727e-08
ABCB7	6.566157647087071e-07
ABCB8	4.2550042486870026e-07
ABCC1	8.169551907701197e-07
ABCC10	0.0
ABCC2	3.395774404269923e-05
ABCC3	0.0
ABCC5	4.5275560253804684e-07
ABCC6	0.00010616891751144107
ABCC8	1.842880067359461e-05
ABCC9	1.489689679147319e-05
ABCD1	1.482747871584013e-05
ABCD2	2.6607132924545013e-05
ABCD3	4.606434855592763e-05
ABCD4	4.6729691578599624e-05
ABCE1	0.0001669142683257684
ABCF1	6.001289381840888e-07
ABCF2	8.539532180610466e-07
ABCF3	2.721777067760923e-05
ABCG1	4.87193580878714e-06
ABCG2	0.0
ABCG4	1.5069832542676457e-05
ABCG5	4.034374626763258e-06
ABCG8	1.250392702638045e-05
ABHD1	0.0
ABHD11	7.4315691090445935e-06
ABHD14B	2.0512763585177602e-08
ABHD15	1.1732211462096166e-06
ABHD16A	0.0005798570304431082
ABHD17A	9.999317379818622e-06
ABHD4	1.2340548848227693e-05
ABHD5	3.52380771842267e-05
ABHD6	2.7590379539197474e-06
ABHD8	2.771486473486332e-08
ABI1	0.00020444960977045908
ABI2	0.001186401902145954
ABI3	0.00028531400738004184
ABI3BP	2.5772275213176397e-06
ABITRAM	3.838381492960464e-06
ABL1	0.0037268083851873155
ABL2	0.00017143700081912093
ABLIM1	2.6919822581418417e-05
ABLIM2	6.918134588513784e-06
ABLIM3	0.00012289568368467767
ABO	2.4592239496443945e-08
ABP1	3.015115768561012e-07
ABR	2.109755211235367e-06
ABRA	7.563639195785242e-07
ABRAXAS1	7.41339436593788e-07
ABRAXAS2	1.0026420508193202e-06
ABT1	1.0376969349953012e-05
ABTB1	5.459586597489705e-07
ABTB2	2.0083896651420456e-07
AC005324.4	1.1121666383741171e-06
AC010132.3	0.0
AC010323.1	9.867717092710169e-07
AC012254.2	9.185995733505258e-05
AC018755.2	9.506650313918722e-07
AC073508.2	0.0
AC084337.2	1.8279576345940526e-07
AC087632.2	4.0245842647202147e-07
AC104452.1	1.5301551690386047e-06
AC106886.6	5.7126834140206e-07
AC138696.1	5.3968807720045165e-06
ACAA1	1.1773083367525808e-05
ACAA2	6.479920705321139e-06
ACACA	3.815307525174033e-05
ACACB	1.1928406487570978e-05
ACAD11	1.1493153082398209e-07
ACAD8	8.51234005626602e-05
ACAD9	3.0548783835221406e-05
ACADL	3.2533471779181305e-06
ACADM	0.0001193524122208786
ACADS	0.0
ACADSB	1.9014674941804928e-07
ACADVL	2.322111236679827e-07
ACAN	0.0005128958092431206
ACAP1	0.0001711488029935086
ACAP2	5.515539339610085e-06
ACAP3	5.437394509068676e-05
ACAT1	5.579324162309665e-06
ACAT2	1.0181280574556967e-05
ACBD3	3.947348129183998e-06
ACBD4	0.0
ACBD5	2.049004752876375e-06
ACBD6	1.6648916811532938e-08
ACBD7	1.1366748180888778e-07
ACCN1	9.707241258423087e-07
ACCN2	4.2078427736713725e-06
ACCN3	4.549364361048326e-06
ACCS	7.041916049587266e-07
ACD	0.00036509441476959464
ACE	2.720824546501649e-06
ACE2	2.540876554046737e-08
ACER1	0.0
ACER2	0.0
ACHE	0.00014575559230490495
ACIN1	1.042801938864963e-05
ACKR1	1.2153820763901375e-07
ACKR2	3.2671954770296745e-05
ACKR3	2.854950440122978e-05
ACKR4	9.08179243826096e-06
ACLY	1.5331321700682524e-05
ACMSD	1.7278154283772192e-06
ACO1	0.0001146255373752925
ACO2	2.753574948540532e-05
ACON	1.7982134269401576e-07
ACOT1	2.120347716119098e-07
ACOT11	2.2367749439093504e-05
