gene	bridging
ITGA7	3.757447191444892e-07
CHRNA1	3.0642247832401076e-06
FHL2	9.184042316062993e-07
FHL3	8.202863254886158e-07
MYOC	2.4513603440456014e-06
PCNA	4.715561175276413e-07
SRC	5.790442294266961e-07
FLNA	1.190488567272352e-06
ACTB	6.293425940851852e-07
ACTG1	5.553175888030367e-07
FYN	4.982410662939378e-07
ITGB1	7.799627813571352e-07
TLN1	3.999094930749433e-07
VASP	1.826575471246437e-06
BCAR1	6.421650582320687e-07
CRK	5.916055058520684e-07
CRKL	6.192209608814958e-07
ITGB2	8.481790584546826e-07
ITGB3	5.925082409841683e-07
ITGB4	1.846225073810492e-06
ITGB5	8.136223773209216e-07
ITGB6	2.4689543575021293e-07
ITGB7	3.0611088697420543e-07
ITGB8	2.69214743511017e-07
ITGBL1	1.4700857332075523e-07
RELN	7.71641082909408e-07
PTK2	7.964374620793594e-07
COMP	2.6297457097266997e-06
TNC	1.09106873148713e-06
TNR	7.630721227081988e-07
MICALL1	7.718459599988998e-07
LAMB1	1.6764289187823106e-06
VWF	1.3887609432976925e-06
ACTN1	1.0329683821286772e-06
ACTN3	1.0080326607807393e-06
PXN	8.122508549477775e-07
VCL	5.49329504911934e-07
ACTBL2	2.5280134695276484e-07
ACTN2	8.808885498439927e-07
ACTN4	1.0103565510047747e-06
CAV1	1.319160806055496e-06
COL10A1	1.5405403923072238e-06
COL11A1	3.7393746925568706e-07
COL11A2	6.597483929274145e-07
COL12A1	6.991690843464749e-07
COL13A1	2.6718350801463457e-07
COL14A1	6.746206846366263e-07
COL15A1	2.61461511386036e-07
COL16A1	1.8668612473110567e-07
COL17A1	1.1979376560416596e-06
COL19A1	3.01337090546877e-07
COL1A1	1.264941321171648e-06
COL1A2	1.7106822527649205e-06
COL2A1	8.368868538605978e-07
COL3A1	7.103797080176515e-07
COL4A1	6.042409404914038e-07
COL4A2	9.903673732503709e-07
COL4A3	7.335915220123252e-07
COL4A4	4.059607773669674e-07
COL4A5	2.0556483930194034e-06
COL4A6	6.578984843403048e-07
COL5A1	3.7031388811518876e-07
COL5A2	3.796253940314033e-07
COL5A3	3.8893256395639195e-07
COL6A1	1.0347315306991546e-06
COL6A2	8.942291096420971e-07
COL6A3	5.83827958867758e-07
COL7A1	1.27282743356054e-06
COL8A1	1.7711143053272183e-06
COL8A2	2.816425262678343e-06
COL9A1	2.08208951060561e-07
COL9A2	1.5062505199221748e-06
COL9A3	3.5341945433526965e-07
FLNB	5.223276788629423e-07
FLNC	1.709972268061443e-06
FN1	1.1657004673708169e-06
CHAD	5.919588355449548e-09
CIB2	7.197983765162412e-07
COL6A5	5.002190429715386e-08
COL6A6	3.9055120213302384e-08
DKFZP666O0110	5.17188936945173e-07
DKFZP686K04147	4.7187330677868626e-08
DKFZP686O12165	5.3699231590546905e-08
IBSP	9.717434794646516e-07
ITGA8	2.1884569127070238e-07
LAMA1	4.73702473198638e-07
LAMA2	8.604980333967594e-07
LAMA3	8.418012162378218e-07
LAMA4	2.418212827779738e-06
LAMA5	7.645766932165512e-07
LAMB2	1.2256998018239676e-06
LAMB3	5.205346002502598e-07
LAMB4	3.4551369725612566e-07
LAMC1	9.683552056259234e-07
LAMC2	7.456899562060609e-07
LAMC3	1.381021557511248e-06
LIMS1	8.497857417505428e-07
LIMS2	9.89451808226173e-07
PARVA	8.528367750824977e-07
PARVB	1.0487819869602087e-07
PARVG	1.530222412047461e-06
POTEKP	3.209897879184339e-07
PTK2B	6.557714617656547e-07
SPP1	3.1211666204626294e-06
THBS1	1.93225483374297e-06
THBS2	1.1913903436019692e-07
THBS3	4.062473675898718e-08
THBS4	1.2960713275169767e-07
TLN2	1.597600304566048e-07
TNN	2.2625774267241592e-08
TNXB	1.5052632197068112e-06
