gene	closeness
-	0.390618750869462
16-5-5	0.29046102026205156
A0A024QYV7	0.2985632815443574
A0A024R5Q1	0.29787165095376816
A0A024RA76	0.29193694463949316
A0A087WWM3	0.27130818651605093
A0A384ME25	0.2928097616657878
A0A4E0W6L3	0.2601544428557918
A1BG	0.3070606802458375
A1CF	0.3352555178973992
A2A284	0.30865514948682665
A2ABK9	0.2981159428211224
A2AE51	0.25106980520379973
A2BHY8	0.2311610780796535
A2M	0.36436265309430516
A2NUT2	0.2328353742772199
A4GNT	0.2730246324614812
A6NCI0	0.27957877434325706
A6ND79	0.23778844591932755
A6NG51	0.3196746326603404
A6NKH4	0.25659111875998786
A6NLP3	0.2645603224008463
A6NLR5	0.3171111002830752
A6NN06	0.27854056607732375
A6NN80	0.27174503801968525
A6PW31	0.2981018381682637
A6XND8	0.3028493824233869
A7E1Y8	0.2453854518314068
A8K008	0.2602690720078935
A8K147	0.26950555142256855
A8K1F4	0.349197143073587
A8K1V4	0.25335140138555207
A8K251	0.30121335003224176
A8K2I7	0.2962981056929063
A8K2R3	0.3075653115930369
A8K379	0.2920542228113482
A8K3Q9	0.2524445931216046
A8K4Y7	5.274818018778352e-05
A8K5H9	0.2920587353920468
A8K5M4	0.26513551807458435
A8K673	0.2569818276990139
A8K6G4	0.2619172119855513
A8K6K1	0.28963319166702317
A8K6V0	0.28545602118146796
A8K8G8	0.2776975825961665
A8K8Y5	0.2730009727977883
A8K900	0.25278557478533287
A8K932	0.3044248176800707
A8K940	0.25775628100000364
A8K9C1	0.2601544428557918
A8KA83	0.2608977412639512
A8KAG1	0.2754797253453803
A8MTJ1	0.3191780171657565
A8MWX0	0.22680090896034732
A9C4B2	0.2760389239233201
A9R9P8	0.2976465058589602
AAAS	0.3487461504533813
AACS	0.2604447937964791
AADAC	0.2588717881393821
AAG1	0.3056999830924645
AAGAB	0.2877811478726785
AAK1	0.35816279212834234
AAMDC	0.2716278863392146
AAMP	0.3053888255040515
AANAT	0.32096110430233765
AAR2	0.2881935926476378
AARD	0.3157497219459653
AARS	0.31659059299176395
AARS1	0.28439518167087846
AARS2	0.2683195831498349
AARSD1	0.3499082072301604
AASDHPPT	0.31366435489318756
AASS	0.2311808685416786
AATF	0.3471576798885775
AATK	0.31088372484948057
ABAT	0.28440373979978434
ABCA1	0.34738098165095227
ABCA12	0.27430837282424775
ABCA2	0.3040379822192901
ABCA4	0.23455447348298442
ABCA5	0.2755158638395077
ABCA7	0.25984687673828777
ABCB1	0.33495846883048797
ABCB11	0.2919459626932314
ABCB4	0.27431633463810506
ABCB5	0.30675670417522627
ABCB6	0.2945023036407346
ABCB7	0.25888951616957856
ABCB8	0.26777222488416585
ABCC1	0.3020122606064082
ABCC10	0.2723597837865919
ABCC2	0.3277564348558767
ABCC3	0.25311392049296
ABCC5	0.2589533571878958
ABCC6	0.27952089310697936
ABCC8	0.30860475680935945
ABCC9	0.29383390624093747
ABCD1	0.26910651131226176
ABCD2	0.2826262164260357
ABCD3	0.29002871364787974
ABCD4	0.2886601104818617
ABCE1	0.3451355990755978
ABCF1	0.3035399755038102
ABCF2	0.2770585329879994
ABCF3	0.30360823275038173
ABCG1	0.3052507364722844
ABCG2	0.26746910081467756
ABCG4	0.2921986945937217
ABCG5	0.2976840064030311
ABCG8	0.30209914421795564
ABHD1	0.25371867590031233
ABHD11	0.3174626115546139
ABHD14B	0.2919775302692896
ABHD15	0.29960914508984554
ABHD16A	0.32702493693033335
ABHD17A	0.31830728246422824
ABHD4	0.30862491190564717
ABHD5	0.29962814226160367
ABHD6	0.2797401414025939
ABHD8	0.262327962730876
ABI1	0.36075351848563375
ABI2	0.37226330066514235
ABI3	0.3499924334729436
ABI3BP	0.3096411066356502
ABITRAM	0.2708610927072188
ABL1	0.40473729935705677
ABL2	0.35385816040910695
ABLIM1	0.34339252165634054
ABLIM2	0.3207160417831459
ABLIM3	0.33853391877090117
ABO	0.2410882409419699
ABP1	0.28352920267258563
ABR	0.32097745512019676
ABRA	0.29658635151216445
ABRAXAS1	0.3338934368686875
ABRAXAS2	0.3245319922150482
ABT1	0.3276939314616911
ABTB1	0.29746850722460805
ABTB2	0.2853525966481978
AC005324.4	0.30722537756315754
AC010132.3	0.28285036519031626
AC010323.1	0.2795332942113763
AC012254.2	0.30621999051587256
AC018755.2	0.27011019526676955
AC073508.2	0.25170503561538915
AC084337.2	0.30091604480734324
AC087632.2	0.29444266550210707
AC104452.1	0.2930912571260508
AC106886.6	0.30408689437859177
AC138696.1	0.2904253173525485
ACAA1	0.3045229069061763
ACAA2	0.3004664094894732
ACACA	0.33148100511325723
ACACB	0.3169834709223938
ACAD11	0.2590385275397186
ACAD8	0.29641426640802376
ACAD9	0.3020170861626125
ACADL	0.29172968306102925
ACADM	0.30082505259212
ACADS	0.2665487964939683
ACADSB	0.23813595407336396
ACADVL	0.2757650757845073
ACAN	0.3279668486409631
ACAP1	0.335065345834706
ACAP2	0.3052951086115138
ACAP3	0.28861162803006835
ACAT1	0.3037887747637175
ACAT2	0.32208225594379103
ACBD3	0.3117039850031046
ACBD4	0.25891433949144943
ACBD5	0.2715537425053984
ACBD6	0.2518358228356218
ACBD7	0.2703110580258451
ACCN1	0.2881672310664583
ACCN2	0.3083278909481
ACCN3	0.3042435190988486
ACCS	0.27212843873557824
ACD	0.3473362983199792
ACE	0.32833714941328257
ACE2	0.27183492276656746
ACER1	0.25070350356216864
ACER2	0.25070350356216864
ACHE	0.31588691725280366
ACIN1	0.3163521565618957
ACKR1	0.29077379556615185
ACKR2	0.3144209018176766
ACKR3	0.33183015913089664
ACKR4	0.3172388324618309
ACLY	0.31230654541294806
ACMSD	0.28982859570323016
ACO1	0.31145232088603175
ACO2	0.3054381732984288
ACON	0.27621640978742795
ACOT1	0.21987299174778133
ACOT11	0.30642352161873465
ACOT12	0.3123581543869727
ACOT13	0.2899975660413205
ACOT2	0.26505372513914893
ACOT4	0.26502399476421395
ACOT7	0.32380925334178345
ACOT7L	0.2135317196436243
ACOT8	0.3192049674846877
ACOT9	0.24742511099644304
ACOX1	0.31091952091609804
ACOX2	0.30235042235829085
ACOX3	0.30583353053269585
ACP1	0.321392232237316
ACP5	0.332110012379395
ACP6	0.28140181558370825
