gene	information
ITGA7	0.00022264883056989188
CHRNA1	0.00019813997293600448
FHL2	0.00022563371733515098
FHL3	0.00022505977701462563
MYOC	0.00021180539398022913
PCNA	0.0002295885909200758
SRC	0.00023021938944774983
FLNA	0.0002265811627452497
ACTB	0.00022965921798685145
ACTG1	0.00022854671345210522
FYN	0.00023013552441539164
ITGB1	0.00022858897871954906
TLN1	0.0002241115249099604
VASP	0.0002190150302772494
BCAR1	0.0002260783039826977
CRK	0.00022941600919955355
CRKL	0.00022684761843857665
ITGB2	0.00022752620467671002
ITGB3	0.00022787868972190664
ITGB4	0.0002268158552821362
ITGB5	0.00022691654657552672
ITGB6	0.00022479268255308051
ITGB7	0.0002250956108578401
ITGB8	0.00022471397514583187
ITGBL1	0.00022124609290082343
RELN	0.00021373054777262617
PTK2	0.00022887845761263313
COMP	0.00021137506179178127
TNC	0.0002163248192782694
TNR	0.0002129127301883162
MICALL1	0.00022060371167678295
LAMB1	0.00021643208031731464
VWF	0.00021882545238660012
ACTN1	0.0002267312218233877
ACTN3	0.00022598353589012524
PXN	0.0002275879537012975
VCL	0.00022608619919099556
ACTBL2	0.00022404749077055972
ACTN2	0.00022672889045174553
ACTN4	0.0002250292032761093
CAV1	0.00022787333215269805
COL10A1	0.00021791531228277074
COL11A1	0.00021831650512877285
COL11A2	0.0002172659695431957
COL12A1	0.000216924285372998
COL13A1	0.00021510342286859042
COL14A1	0.0002171485842602327
COL15A1	0.00021652318611997852
COL16A1	0.00021510523863549672
COL17A1	0.00021860136159822935
COL19A1	0.00021428997594698557
COL1A1	0.00022354332900909366
COL1A2	0.0002231215041768931
COL2A1	0.00022167160538339383
COL3A1	0.00022062179455183042
COL4A1	0.00022179758946400875
COL4A2	0.00022251885420692603
COL4A3	0.00022045433461513386
COL4A4	0.00021971329128589998
COL4A5	0.0002231421773995325
COL4A6	0.00021916928935829626
COL5A1	0.00021899028512422386
COL5A2	0.00021662527636114663
COL5A3	0.00021641727036877587
COL6A1	0.00022133428898979434
COL6A2	0.00021820132512422228
COL6A3	0.00021876291466345024
COL7A1	0.00022227794823994395
COL8A1	0.00022433551069243586
COL8A2	0.00021813815097695044
COL9A1	0.00021736653714858742
COL9A2	0.00021861124509204663
COL9A3	0.0002177563766202739
FLNB	0.00022233377533943048
FLNC	0.00021606518880565805
FN1	0.00022726856925265663
CHAD	0.0001942206447989927
CIB2	0.00010991896282802582
COL6A5	0.00020084326524033173
COL6A6	0.00019993857283171236
DKFZP666O0110	0.00022486075160451667
DKFZP686K04147	0.0001978814312150503
DKFZP686O12165	0.00020343679201020528
IBSP	0.00020249096154684155
ITGA8	0.00022358523048401698
LAMA1	0.00021406345603453738
LAMA2	0.0002088243746754956
LAMA3	0.00021883567362367877
LAMA4	0.00021534591673569
LAMA5	0.00021687235085384693
LAMB2	0.0002138723830579118
LAMB3	0.00021214178655616737
LAMB4	0.00019974086322903194
LAMC1	0.00021917604055448505
LAMC2	0.00021765305783189335
LAMC3	0.0002140477135608599
LIMS1	0.00022372648978007006
LIMS2	0.000220978405021717
PARVA	0.00022088444598041327
PARVB	0.00021987411161789776
PARVG	0.0002158961621527652
POTEKP	0.00022490221771552654
PTK2B	0.00022686551504090685
SPP1	0.00021704128803509584
THBS1	0.00022121105660092858
THBS2	0.0002048433644779524
THBS3	0.00020088212331906413
THBS4	0.00020260081143069278
TLN2	0.00019891928456989503
TNN	0.00019554036400918162
TNXB	0.00020233286907039478
VTN	0.00022158073454599483
XB	0.00019554036400918273
CHRNE	0.000128239212669918
CHRNG	0.00019896580224259178
CHRND	0.00016082710827020289
LILRB3	0.00019351228057949802
JAK2	0.00022915611484350585
PAK2	0.0002268719487843371
PAK4	0.00021775538772108894
AGRN	0.0002192197903992393
ARHGEF6	0.00021952883923755256
GNB1	0.00023051513719350768
DMD	0.00022080739518443894
GNGT1	0.000229796924353644
GNAQ	0.0002282585347416598
ARHGEF7	0.00022231893600637147
DAG1	0.00021630268492764572
PAK3	0.00021996173527648666
PAK5	0.00021860880704393894
PAK6	0.00021333058521713215
RAPSN	0.0002014024565944075
SLURP1	0.00017445391240504903
SLURP2	0.00017127269479733087
ZFYVE9	0.00021351286858484157
AR	0.00022908720373075782
CREBBP	0.00022985312925907032
EP300	0.00023083972257950463
TTN	0.0002214385188218979
PFKM	0.00019974546668336806
ATXN1	0.0002283250432898334
FHL1	0.00020702257857276293
PSEN2	0.0002210232798447189
HAND1	0.00019955026470745382
ITGA3	0.00022405705059328127
FHL5	0.00022140582180418835
WT1	0.0002184548161921216
SFPQ	0.0002249974038933849
ZNF638	0.00021237362544832797
ZBTB16	0.00022590232016712558
REV1	0.00020081377430366493
CARD8	0.00017707949119510007
CTNNB1	0.00023015356713131162
BRCA1	0.00022925686008292163
FOXO1	0.00022665304127414879
SRF	0.0002263819001573397
ESR1	0.00022958708237829818
CAPN1	0.0002196980221818655
CKM	0.00018231850199225473
TNFRSF11A	0.0002198989870741065
ADAM17	0.00021909459204287932
TRAF6	0.0002291867563198025
AK1	0.00012307014699609905
SLC34A1	0.00016341461409938112
IGFBP5	0.0002213193682670239
MCM7	0.00022483312755087746
POGZ	0.00022012411390465067
BANP	0.0002260049048821176
QRICH1	0.00021468350624292442
DCP1A	0.00022497981496568683
ZNF76	0.00022076497563530286
GAS8	0.00022336956303703224
PPP1R32	0.00021797143933661016
GOLGA6A	0.00021158106964061518
FAM204A	0.00010975130287346863
NRF1	0.0002219022197117779
ZNF410	0.0002140031434857011
C2CD6	0.000215792203723557
KANK2	0.00022645434909237963
FAM214B	0.00021624540487574613
PRDM6	0.00021859692217607123
ZNF200	0.00012299182140325499
PRDM11	4.280645684029796e-05
SOX30	0.00017770871300846583
BARX2	0.00017279100667834407
IFI35	0.00016415044302347465
RFX3	0.00020582542034554348
YPEL3	0.00022305099208135102
ABLIM1	0.00020273942344704515
MISP	0.00021383956128939995
CCDC198	0.00019905618701440266
YY1	0.00022865991890515865
GMEB2	0.00020396004061468462
TOX3	0.00018268392136250932
RASL12	0.00016078919174628193
ZNF85	0.00015919034284353617
POU6F2	0.00022467828355432164
GTF2H1	0.00022675380351681895
PHF1	0.00022055042186464738
ID3	0.00021549117156238846
BLZF1	0.00022202979671521705
KLF12	0.00013348207087404736
CCDC92	0.00016510653185063893
LRIF1	0.00022476052836186414
SNAI1	0.00022126168921102546
C20orf85	0.00019223738274008807
AMOT	0.00021959079431024977
RAI2	0.00015512258915623334
CSN2	0.00018755772980748168
PRR5L	0.00018532967315720654
PHF21A	0.00018952579932098658
NIBAN1	9.387605256021613e-05
ABI1	0.00022250205148463127
ZSCAN9	0.00018292468725794725
SLAIN1	0.00020551572376094717
GLYR1	0.00018720194801520978
GATAD2B	0.000214492422131889
CAND2	0.00017228608319568294
DDIT4L	0.00022491696407244763
RIPPLY1	0.0002104284390230482
A1CF	0.0001981676426806114
SH3RF1	0.00021666415729112932
LDLRAP1	0.0002165487674443898
PKNOX1	0.00021629315099005894
HSF2BP	0.00022806099612626544
SCNM1	0.00022587846940746626
DAPL1	0.00012220317723364053
ANKRD55	0.0001940652080346468
PKNOX2	0.00020361460663064501
AKIP1	9.387703996982564e-05
ZNF143	0.0002235371520736325
SP2	0.00021008894141480848
ZNF23	0.00019669281857543592
GNG4	0.00022720473669584932
VXN	0.00012285210190974993
DLGAP1	0.0002104401921829523
KIF5B	0.00021858010703330923
MBD3L1	0.0002164508967834932
ZNF131	0.0001913489343070193
IL16	0.0002252897728853103
GNG12	0.00022734669845650426
JUP	0.0002255431749689728
DEAF1	0.00019620289340087463
ZNF620	0.0002184282692936547
TRIM73	0.00018769571949335862
WASHC1	0.00021633535211556512
IKZF1	0.0002240706615097965
NBPF6	0.00010999610421961342
SPRY4	0.00021378250410108
GTF2F2	0.0002284397509752123
SAXO2	7.219904397781227e-05
ZNF655	0.0002250134755201927
SREBF2	0.0002222505005859927
KPRP	0.00022228507403354946
TCP10L	0.0002040108713728718
MAGEL2	0.00015500600260030662
MYO15B	0.00022126199065981118
REL	0.00022929638922036862
ZNF417	0.0002257743185838417
HCK	0.0002280122065885367
ZFP64	0.00019517888525425963
DTX2	0.0002238883130109337
F5H1Q3	0.0001492007283802391
SIGLEC6	0.00017255001347502643
ZBTB25	0.00020559866565565829
INCA1	0.00022702942759400302
KIAA1217	0.0001952412377340692
ZMYM4	0.00016503271383900154
SAXO1	0.00021154199459964755
ARHGAP9	0.00020689504600054248
DUSP10	0.00019405856473490643
STAT3	0.0002301490916848133
DVL2	0.0002287226967012026
DVL3	0.0002286550077194272
SMAD3	0.00022935468377060703
SP1	0.00023008193821184153
JUN	0.00023026178817858983
EGR2	0.0002222528091510875
FOS	0.00022951446631333858
TFAP2A	0.0002274269821925826
MAPK1	0.00023007460694195905
ATF3	0.0002222339696931967
GATA2	0.00022626635097830296
SIRT1	0.0002254056849551744
CREB1	0.00022902186124904866
SMAD2	0.00022909517182015016
SMAD4	0.00022914475554556432
DVL1	0.00022705531213012043
