gene	kcore
-	59
16-5-5	3
A0A024QYV7	4
A0A024R5Q1	6
A0A024RA76	5
A0A087WWM3	1
A0A384ME25	5
A0A4E0W6L3	1
A1BG	9
A1CF	22
A2A284	3
A2ABK9	1
A2AE51	1
A2BHY8	1
A2M	45
A2NUT2	1
A4GNT	18
A6NCI0	2
A6ND79	1
A6NG51	12
A6NKH4	1
A6NLP3	1
A6NLR5	13
A6NN06	1
A6NN80	1
A6PW31	3
A6XND8	1
A7E1Y8	1
A8K008	3
A8K147	1
A8K1F4	41
A8K1V4	1
A8K251	5
A8K2I7	3
A8K2R3	7
A8K379	3
A8K3Q9	1
A8K4Y7	1
A8K5H9	4
A8K5M4	1
A8K673	1
A8K6G4	1
A8K6K1	4
A8K6V0	3
A8K8G8	2
A8K8Y5	1
A8K900	1
A8K932	11
A8K940	1
A8K9C1	1
A8KA83	4
A8KAG1	1
A8MTJ1	20
A8MWX0	1
A9C4B2	4
A9R9P8	2
AAAS	87
AACS	1
AADAC	1
AAG1	16
AAGAB	7
AAK1	66
AAMDC	3
AAMP	12
AANAT	8
AAR2	7
AARD	15
AARS	8
AARS1	4
AARS2	2
AARSD1	42
AASDHPPT	9
AASS	1
AATF	36
AATK	4
ABAT	2
ABCA1	31
ABCA12	2
ABCA2	5
ABCA4	1
ABCA5	2
ABCA7	1
ABCB1	19
ABCB11	5
ABCB4	5
ABCB5	8
ABCB6	2
ABCB7	4
ABCB8	3
ABCC1	5
ABCC10	1
ABCC2	12
ABCC3	2
ABCC5	4
ABCC6	4
ABCC8	22
ABCC9	17
ABCD1	6
ABCD2	6
ABCD3	6
ABCD4	6
ABCE1	37
ABCF1	10
ABCF2	5
ABCF3	12
ABCG1	4
ABCG2	1
ABCG4	6
ABCG5	4
ABCG8	7
ABHD1	1
ABHD11	19
ABHD14B	2
ABHD15	6
ABHD16A	29
ABHD17A	14
ABHD4	15
ABHD5	16
ABHD6	6
ABHD8	2
ABI1	53
ABI2	53
ABI3	38
ABI3BP	6
ABITRAM	3
ABL1	67
ABL2	48
ABLIM1	30
ABLIM2	16
ABLIM3	27
ABO	2
ABP1	3
ABR	25
ABRA	4
ABRAXAS1	35
ABRAXAS2	11
ABT1	17
ABTB1	5
ABTB2	3
AC005324.4	11
AC010132.3	1
AC010323.1	3
AC012254.2	25
AC018755.2	3
AC073508.2	1
AC084337.2	5
AC087632.2	2
AC104452.1	11
AC106886.6	9
AC138696.1	6
ACAA1	15
ACAA2	11
ACACA	21
ACACB	15
ACAD11	2
ACAD8	3
ACAD9	53
ACADL	7
ACADM	8
ACADS	1
ACADSB	3
ACADVL	3
ACAN	21
ACAP1	24
ACAP2	10
ACAP3	5
ACAT1	11
ACAT2	11
ACBD3	9
ACBD4	1
ACBD5	6
ACBD6	2
ACBD7	2
ACCN1	4
ACCN2	4
ACCN3	7
ACCS	3
ACD	36
ACE	10
ACE2	3
ACER1	1
ACER2	1
ACHE	9
ACIN1	12
ACKR1	10
ACKR2	42
ACKR3	43
ACKR4	42
ACLY	6
ACMSD	4
ACO1	7
ACO2	17
ACON	6
ACOT1	2
ACOT11	10
ACOT12	10
ACOT13	5
ACOT2	6
ACOT4	6
ACOT7	18
ACOT7L	1
ACOT8	14
ACOT9	1
ACOX1	16
ACOX2	12
ACOX3	12
ACP1	17
ACP5	20
ACP6	4
ACPP	2
ACR	3
ACRV1	1
ACSBG1	9
ACSBG2	8
ACSF2	14
ACSF3	4
ACSL1	9
ACSL3	10
ACSL4	9
ACSL5	18
ACSL6	10
ACSM1	5
ACSM2B	2
ACSM3	2
ACSM5	1
ACSS1	3
ACSS2	4
ACSS3	1
ACTA1	52
ACTA2	44
ACTB	70
ACTBL2	56
ACTC1	44
ACTG1	61
ACTG2	39
ACTL6A	54
ACTL6B	30
ACTL7A	1
ACTL8	2
ACTL9	1
ACTN1	56
ACTN2	56
ACTN3	56
ACTN4	56
ACTR10	62
ACTR1A	93
ACTR1B	55
ACTR2	103
ACTR3	103
ACTR3B	17
ACTR3C	11
ACTR5	32
ACTR6	4
ACTR8	32
ACVR1	43
ACVR1B	32
ACVR1C	23
ACVR2A	34
ACVR2B	34
ACVRL1	34
ACY1	10
ACY3	16
ACYP2	2
ADA	14
ADA2	10
ADAL	1
ADAM10	37
ADAM11	3
ADAM12	38
ADAM15	32
ADAM17	52
ADAM19	7
ADAM2	9
ADAM20	9
ADAM21	9
ADAM22	9
ADAM23	8
ADAM28	3
ADAM30	9
ADAM32	1
ADAM33	21
ADAM3B	1
ADAM8	12
ADAM9	19
ADAMTS1	10
ADAMTS10	8
ADAMTS12	9
ADAMTS13	4
ADAMTS14	11
ADAMTS16	1
ADAMTS2	11
ADAMTS3	11
ADAMTS4	10
ADAMTS5	5
ADAMTS7	2
ADAMTS8	1
ADAMTS9	2
ADAMTSL1	3
ADAMTSL2	2
ADAMTSL3	14
ADAMTSL4	48
ADAMTSL5	6
ADAP1	20
ADAP2	3
ADAR	11
ADARB1	14
ADAT2	4
ADAT3	4
ADCK1	2
ADCK2	1
ADCK5	4
ADCY1	49
ADCY10	26
ADCY2	49
ADCY3	49
ADCY4	49
ADCY5	49
ADCY6	49
ADCY7	49
ADCY8	49
ADCY9	49
ADCYAP1	21
ADCYAP1R1	27
ADD1	22
ADD2	11
ADD3	7
ADFP	1
ADGRA2	4
ADGRA3	1
ADGRB1	9
ADGRB2	1
ADGRB3	5
ADGRD1	1
ADGRD2	2
ADGRE2	15
ADGRF1	1
ADGRF4	1
ADGRF5	11
ADGRG1	2
ADGRG3	12
ADGRG5	4
ADGRG7	4
ADGRL1	5
ADGRL2	1
ADGRL3	2
ADGRV1	6
ADH1A	14
ADH1B	14
ADH1C	14
ADH4	14
ADH5	14
ADH6	14
ADH7	14
ADHFE1	2
ADI1	2
ADIPOQ	30
ADIPOR1	18
ADIPOR2	16
ADIRF	28
ADK	2
ADM	14
ADM2	6
ADNP	12
ADNP2	5
ADO	2
ADORA1	44
ADORA2A	45
ADORA2B	38
ADORA3	11
ADPGK	4
ADPRH	3
ADPRHL2	4
ADPRS	2
ADRA1A	45
ADRA1B	44
ADRA1D	38
ADRA2A	40
ADRA2B	35
ADRA2C	42
ADRB1	39
ADRB2	64
ADRB3	36
ADRBK1	29
ADRBK2	7
ADRM1	60
ADSL	6
ADSS	4
ADSS1	5
ADSS2	6
ADTRP	10
AEBP1	2
AEBP2	20
AEN	26
AES	17
AFAP1	9
AFAP1L1	1
AFAP1L2	18
AFDN	50
AFF1	13
AFF2	4
AFF4	58
AFG1L	6
AFG3L2	13
AFMID	3
AFP	15
AFTPH	7
AGA	4
AGAP1	13
AGAP2	16
AGBL2	2
AGBL5	1
AGER	36
AGFG1	51
AGFG2	3
AGGF1	12
AGK	15
AGL	6
AGMO	1
AGO1	28
AGO2	60
AGO3	12
AGO4	12
AGPAT1	5
AGPAT2	6
AGPAT3	17
AGPAT4	24
AGPAT5	7
AGPAT6	1
AGPS	10
AGR2	40
AGR3	26
AGRN	37
AGRP	12
AGT	46
AGTPBP1	9
AGTR1	37
AGTR2	28
AGTRAP	34
AGXT	30
AGXT2	2
AHCTF1	96
AHCY	10
AHCYL1	19
AHCYL2	5
AHDC1	4
AHI1	93
AHNAK	12
AHNAK2	16
AHR	52
AHRR	31
AHSA1	18
AHSA2	1
AHSA2P	4
AHSG	24
AHSP	12
AICDA	22
AID	1
AIDA	10
AIF1	8
AIF1L	5
AIFM1	34
AIFM2	5
AIFM3	1
AIG1	29
AIM2	15
AIMP1	23
AIMP2	39
AIP	16
AIPL1	11
AIRE	22
AJAP1	1
AJUBA	83
AK1	5
AK2	6
AK3	5
AK4	3
AK5	6
AK6	15
AK8	12
AK9	2
AKAIN1	1
AKAP1	16
AKAP10	9
AKAP11	8
AKAP12	8
AKAP13	36
AKAP14	6
AKAP17A	17
AKAP2	7
AKAP3	6
AKAP4	6
AKAP5	33
AKAP6	18
AKAP7	7
AKAP8	21
AKAP8L	42
AKAP9	93
AKD1	1
AKIP1	3
AKIRIN1	1
AKIRIN2	12
AKNA	2
AKNAD1	3
AKR1A1	3
AKR1B1	17
AKR1B10	3
AKR1B15	1
AKR1C1	6
AKR1C2	14
AKR1C3	14
AKR1C4	1
AKR1D1	3
AKR1E2	3
AKR7A2	4
AKR7A3	4
AKT1	69
AKT1S1	45
AKT2	66
AKT3	66
AKTIP	24
AL049697.1	32
AL117350.1	2
AL365205.1	8
AL807752.7	4
ALAD	1
ALAS1	30
ALAS2	6
ALB	28
ALCAM	8
ALD	4
ALDH16A1	3
ALDH18A1	5
ALDH1A1	6
ALDH1A2	9
ALDH1A3	9
ALDH1B1	3
ALDH1L1	1
ALDH1L2	1
ALDH2	14
ALDH3A1	14
ALDH3A2	20
ALDH3B1	19
ALDH3B2	1
ALDH4A1	2
ALDH5A1	3
ALDH6A1	1
ALDH7A1	4
ALDOA	32
ALDOB	18
ALDOC	20
ALG1	1
ALG10	8
ALG10B	3
ALG11	1
ALG12	3
ALG13	9
ALG14	1
ALG2	4
ALG3	6
ALG8	10
ALG9	2
ALK	29
ALKAL1	1
ALKBH1	1
ALKBH2	1
ALKBH3	7
ALKBH4	10
ALKBH7	4
ALKBH8	4
ALMS1	93
ALOX12	8
ALOX12B	4
ALOX15	2
ALOX15B	10
ALOX5	19
ALOX5AP	20
ALOXE3	4
ALPG	4
ALPI	8
ALPK1	11
ALPK2	1
ALPK3	2
ALPL	4
ALPP	32
ALPPL2	1
ALR	1
ALS2	10
ALS2CL	9
ALS2CR11	5
ALS2CR12	1
ALS2CR14	3
ALS2CR8	2
ALX1	13
ALX3	1
ALX4	19
ALYREF	160
AMACR	6
AMBN	3
AMBP	85
AMBRA1	30
AMD1	2
AMDHD2	3
AMELX	4
AMELY	2
AMER1	62
AMER2	1
AMER3	2
AMFR	25
AMH	24
AMHR2	24
AMIGO1	22
AMIGO2	3
AMIGO3	2
AMMECR1	8
AMN	4
AMOT	43
AMOTL1	11
AMOTL2	45
AMPD1	3
AMPD2	5
AMPD3	3
AMPH	66
AMT	4
AMTN	3
AMY1A	3
AMY1B	2
AMY1C	2
AMY2A	3
ANAPC1	81
ANAPC10	81
ANAPC11	81
ANAPC13	32
ANAPC15	81
ANAPC16	81
ANAPC2	81
ANAPC4	81
ANAPC5	81
ANAPC7	81
ANG	13
ANGPT1	53
ANGPT2	43
ANGPT4	33
ANGPTL1	2
ANGPTL3	8
ANGPTL4	21
ANGPTL5	1
ANGPTL6	1
ANGPTL7	1
ANGPTL8	7
ANK1	62
ANK2	62
ANK3	62
ANKEF1	4
ANKFY1	8
ANKH	3
ANKHD1	18
ANKIB1	1
ANKK1	5
ANKLE2	12
ANKMY2	5
ANKRA2	7
ANKRD1	31
ANKRD10	16
ANKRD11	42
ANKRD12	5
ANKRD13	3
ANKRD13A	4
ANKRD13B	2
ANKRD13C	1
ANKRD13D	3
ANKRD17	13
ANKRD2	23
ANKRD20A12P	1
ANKRD22	1
ANKRD23	18
ANKRD24	5
ANKRD26	5
ANKRD26P1	1
ANKRD27	10
ANKRD28	29
ANKRD29	8
ANKRD33	10
ANKRD34A	1
ANKRD35	1
ANKRD36	7
ANKRD36B	14
ANKRD36BP1	16
ANKRD37	2
ANKRD40	6
ANKRD44	5
ANKRD45	3
ANKRD46	30
ANKRD49	5
ANKRD50	7
ANKRD52	3
ANKRD53	4
ANKRD54	3
ANKRD55	22
ANKRD6	9
ANKRD7	1
ANKRD9	19
