gene	leverage
ITGA7	0.0953
CHRNA1	-0.386
FHL2	0.3292
FHL3	0.4412
MYOC	-0.0139
PCNA	0.705
SRC	0.7028
FLNA	0.2477
ACTB	0.6657
ACTG1	0.5702
FYN	0.7184
ITGB1	0.5449
TLN1	0.1082
VASP	-0.1377
BCAR1	0.1684
CRK	0.6085
CRKL	0.2126
ITGB2	0.4329
ITGB3	0.4034
ITGB4	0.2836
ITGB5	0.3849
ITGB6	0.2299
ITGB7	0.2283
ITGB8	0.2122
ITGBL1	-0.0181
RELN	-0.4078
PTK2	0.4936
COMP	-0.3466
TNC	-0.1382
TNR	-0.0965
MICALL1	-0.0725
LAMB1	-0.1503
VWF	-0.1424
ACTN1	0.3634
ACTN3	0.3144
PXN	0.3242
VCL	0.2933
ACTBL2	0.1308
ACTN2	0.3887
ACTN4	0.1973
CAV1	0.3865
COL10A1	-0.2631
COL11A1	-0.1613
COL11A2	-0.2329
COL12A1	-0.2851
COL13A1	-0.3847
COL14A1	-0.2954
COL15A1	-0.3317
COL16A1	-0.4007
COL17A1	-0.1671
COL19A1	-0.4435
COL1A1	0.0896
COL1A2	0.0496
COL2A1	0.0312
COL3A1	-0.03
COL4A1	0.0149
COL4A2	0.0214
COL4A3	-0.0746
COL4A4	-0.1196
COL4A5	0.0554
COL4A6	-0.1727
COL5A1	-0.1488
COL5A2	-0.2445
COL5A3	-0.2659
COL6A1	-0.0481
COL6A2	-0.2265
COL6A3	-0.2481
COL7A1	-0.013
COL8A1	0.1256
COL8A2	-0.2853
COL9A1	-0.2947
COL9A2	-0.245
COL9A3	-0.2976
FLNB	-0.0669
FLNC	-0.2137
FN1	0.369
CHAD	-0.74
CIB2	-0.9258
COL6A5	-0.6159
COL6A6	-0.6543
DKFZP666O0110	0.0832
DKFZP686K04147	-0.6856
DKFZP686O12165	-0.6326
IBSP	-0.5887
ITGA8	0.1492
LAMA1	-0.1442
LAMA2	-0.3949
LAMA3	-0.053
LAMA4	-0.2834
LAMA5	-0.1499
LAMB2	-0.2531
LAMB3	-0.239
LAMB4	-0.5485
LAMC1	-0.0728
LAMC2	-0.1117
LAMC3	-0.115
LIMS1	0.1261
LIMS2	-0.1367
PARVA	-0.0613
PARVB	-0.1393
PARVG	-0.2013
POTEKP	0.2318
PTK2B	0.2092
SPP1	-0.3415
THBS1	-0.07
THBS2	-0.5439
THBS3	-0.635
THBS4	-0.5881
TLN2	-0.6284
TNN	-0.7298
TNXB	-0.5642
VTN	0.0255
XB	-0.7298
CHRNE	-0.5356
CHRNG	-0.4352
CHRND	-0.3065
LILRB3	-0.4351
JAK2	0.5189
PAK2	0.1468
PAK4	-0.2134
AGRN	0.1822
ARHGEF6	-0.1802
GNB1	0.8941
DMD	0.1729
GNGT1	0.8474
GNAQ	0.6264
ARHGEF7	-0.1273
DAG1	-0.0348
PAK3	-0.1316
PAK5	-0.113
PAK6	-0.3095
RAPSN	-0.4072
SLURP1	0.1522
SLURP2	0.1689
ZFYVE9	-0.1369
AR	0.4741
CREBBP	0.6497
EP300	0.8527
TTN	0.243
PFKM	-0.5118
ATXN1	0.7334
FHL1	-0.2583
PSEN2	0.1499
HAND1	-0.4119
ITGA3	0.2035
FHL5	0.1677
WT1	-0.0908
SFPQ	0.0919
ZNF638	-0.2128
ZBTB16	0.2465
REV1	-0.5788
CARD8	-0.4427
CTNNB1	0.6739
BRCA1	0.5338
FOXO1	0.1673
SRF	0.3505
ESR1	0.5979
CAPN1	0.0188
CKM	-0.3381
TNFRSF11A	-0.3723
ADAM17	-0.187
TRAF6	0.5362
AK1	-0.9491
SLC34A1	-0.6148
IGFBP5	0.27
MCM7	0.2384
POGZ	0.1888
BANP	0.5014
QRICH1	-0.0494
DCP1A	-0.0267
ZNF76	0.2144
GAS8	0.1614
PPP1R32	-0.1951
GOLGA6A	-0.2814
FAM204A	-0.9093
NRF1	0.1505
ZNF410	-0.1755
C2CD6	-0.1786
KANK2	0.3578
FAM214B	-0.173
PRDM6	-0.1164
ZNF200	-0.9351
PRDM11	-0.9884
SOX30	-0.4894
BARX2	-0.8056
IFI35	-0.5969
RFX3	-0.18
YPEL3	0.2054
ABLIM1	-0.67
MISP	-0.1568
CCDC198	-0.7105
YY1	0.5196
GMEB2	-0.3845
TOX3	-0.4422
RASL12	-0.9162
ZNF85	-0.705
POU6F2	0.3877
GTF2H1	0.1863
PHF1	-0.0467
ID3	-0.1803
BLZF1	0.0043
KLF12	-0.9317
CCDC92	-0.8174
LRIF1	0.3264
SNAI1	-0.2172
C20orf85	-0.4887
AMOT	0.0133
RAI2	-0.8264
