gene	eigenvector
-	0.006201867649025352
16-5-5	0.00011170174625223915
A0A024QYV7	0.00020687869146093172
A0A024R5Q1	0.00017364042986106216
A0A024RA76	0.00013365083272511455
A0A087WWM3	3.712627445127451e-05
A0A384ME25	6.20649761977668e-05
A0A4E0W6L3	1.3846980477123513e-05
A1BG	0.00031675724592944784
A1CF	0.0007489249096256994
A2A284	0.00022907860325380646
A2ABK9	0.00012103476993057796
A2AE51	7.244466467953163e-06
A2BHY8	8.323866238378072e-07
A2M	0.002797411411303934
A2NUT2	9.414282106235538e-07
A4GNT	2.591364809411501e-05
A6NCI0	9.459830649709209e-05
A6ND79	1.4498298209031322e-06
A6NG51	0.00032779996784128664
A6NKH4	8.335969780337476e-06
A6NLP3	2.8818775947416473e-05
A6NLR5	0.000318433232915538
A6NN06	2.5202093926825695e-05
A6NN80	9.286804945000379e-05
A6PW31	0.00013295597189121123
A6XND8	0.00015340688364670992
A7E1Y8	9.264974933378596e-06
A8K008	1.4859422760078829e-05
A8K147	3.650963673398571e-05
A8K1F4	0.0021848191429040043
A8K1V4	9.531060093073544e-06
A8K251	0.00017585798731469232
A8K2I7	0.00014051108131721203
A8K2R3	0.0002464885781004986
A8K379	0.00011865256092450052
A8K3Q9	1.1598947110949275e-05
A8K4Y7	6.659218017844502e-83
A8K5H9	9.739142300476841e-05
A8K5M4	2.7648362490131926e-05
A8K673	1.033371367043265e-05
A8K6G4	1.2737467407683054e-05
A8K6K1	0.0005194113491540628
A8K6V0	6.511234267395412e-05
A8K8G8	7.561183588539479e-05
A8K8Y5	3.809643328754576e-05
A8K900	4.054882033210008e-06
A8K932	0.00025108021217371224
A8K940	9.734433958028246e-06
A8K9C1	1.7601995951370545e-05
A8KA83	1.010556028448538e-05
A8KAG1	5.0579231324168565e-05
A8MTJ1	0.00043497023481027167
A8MWX0	3.609783471379272e-07
A9C4B2	4.063530179050162e-05
A9R9P8	0.00016500088036973596
AAAS	0.025558871772609407
AACS	6.732420209304406e-06
AADAC	7.449953511957413e-06
AAG1	0.0007948802164335831
AAGAB	0.0001496435178959641
AAK1	0.005038985551360968
AAMDC	1.8750605551567445e-05
AAMP	0.00017949510029058018
AANAT	0.00027414771692129515
AAR2	0.001083000458931112
AARD	0.0003724385079311177
AARS	0.00035481530161307075
AARS1	7.791850742591244e-05
AARS2	1.5964935457288693e-05
AARSD1	0.0022724922858740073
AASDHPPT	0.0002473495155843861
AASS	1.2656184541473653e-06
AATF	0.0022147116755758135
AATK	0.0002750194946317488
ABAT	7.150231433114703e-05
ABCA1	0.0015162972729729416
ABCA12	2.517450047212484e-05
ABCA2	0.00014951872081897104
ABCA4	1.6678902952977742e-06
ABCA5	2.8534875329899487e-05
ABCA7	8.739215039572882e-06
ABCB1	0.0012829507312540167
ABCB11	8.103024055264813e-05
ABCB4	2.947290900743344e-05
ABCB5	0.00034480274125302197
ABCB6	8.568196931388871e-05
ABCB7	8.84058695399898e-06
ABCB8	1.996316773112119e-05
ABCC1	0.00022180937939794072
ABCC10	0.0003751638833411344
ABCC2	0.0005767138054972588
ABCC3	8.974461033563367e-06
ABCC5	1.0346009386613454e-05
ABCC6	3.395638667325498e-05
ABCC8	0.0003105584102116203
ABCC9	0.0001145662806376188
ABCD1	0.0001016414622367327
ABCD2	4.280718946184654e-05
ABCD3	0.00010321457923501304
ABCD4	0.00014688644227748253
ABCE1	0.0027747593752772306
ABCF1	0.001198783518167002
ABCF2	0.00010173222254659665
ABCF3	0.00017919710440477213
ABCG1	0.0001565146283399894
ABCG2	1.8038422159027786e-05
ABCG4	4.948741918967255e-05
ABCG5	0.00016364120818444878
ABCG8	0.00011357373528506935
ABHD1	3.3954186427910375e-06
ABHD11	0.0005927918416503514
ABHD14B	0.00019360593595033526
ABHD15	0.00015919674367157035
ABHD16A	0.0007052730087268814
ABHD17A	0.00036425720933633493
ABHD4	0.00013005665878720396
ABHD5	7.136675004182378e-05
ABHD6	6.213633671996574e-05
ABHD8	1.1584453382094196e-05
ABI1	0.004388058636023305
ABI2	0.004572715736085931
ABI3	0.0014197832881190258
ABI3BP	0.00020932440913143272
ABITRAM	2.8597992569024697e-05
ABL1	0.012804526912770463
ABL2	0.0025847756701159637
ABLIM1	0.0012305240022444802
ABLIM2	0.0006372967840149264
ABLIM3	0.0014771323687126855
ABO	1.1099211212574406e-06
ABP1	5.3872532418243847e-05
ABR	0.0006684030868858585
ABRA	0.00012090084459897608
ABRAXAS1	0.002416277051864276
ABRAXAS2	0.0008298965590616454
ABT1	0.0006695243601608654
ABTB1	0.00018130428471983776
ABTB2	0.00013435032645851572
AC005324.4	0.0006239168990410133
AC010132.3	8.697705004483487e-05
AC010323.1	3.2553863176759336e-05
AC012254.2	0.0001326044496719674
AC018755.2	1.1763734970719094e-05
AC073508.2	7.824988928979135e-06
AC084337.2	0.0001412244200242275
AC087632.2	0.00015973226945210486
AC104452.1	8.426910705753682e-05
AC106886.6	0.00018539352776925804
AC138696.1	0.00010192993591836044
ACAA1	0.0003165002711258536
ACAA2	0.00010789303773493552
ACACA	0.000834596603647948
ACACB	0.0004597081062603336
ACAD11	0.0003435156482150467
ACAD8	0.00017677420185063084
ACAD9	0.00015784835779225607
ACADL	0.00018027189109871608
ACADM	0.00023252233048071385
ACADS	2.591306187415336e-05
ACADSB	1.878451510115027e-06
ACADVL	0.00013709034550327552
ACAN	0.0006608817232565173
ACAP1	0.0008482943718882552
ACAP2	0.000530222032886537
ACAP3	0.00010824059141870992
ACAT1	0.0002167136740163128
ACAT2	0.00031120942478217066
ACBD3	0.0004818921922443522
ACBD4	1.3142109515879937e-05
ACBD5	1.8650888670509067e-05
ACBD6	8.325508989606438e-06
ACBD7	2.4266824919186983e-05
ACCN1	5.677889032318814e-05
ACCN2	0.00014767297496261022
ACCN3	0.00012119715764044468
ACCS	3.046810282008004e-05
ACD	0.0017041145197812238
ACE	0.0005325591336017695
ACE2	2.160468944910006e-05
ACER1	5.5627608281814795e-06
ACER2	5.5627608281814795e-06
ACHE	0.00029245005300282623
ACIN1	0.0012596670615979929
ACKR1	0.00011957061638948948
ACKR2	0.0006128493662111729
ACKR3	0.0011596668503244612
ACKR4	0.000692237379797387
ACLY	0.00026973286773485664
ACMSD	4.925992235273568e-05
ACO1	0.00017980588720319156
ACO2	0.0001821117149633432
ACON	3.9052909855791015e-05
ACOT1	3.609341525694031e-07
ACOT11	0.0002072881829071784
ACOT12	0.0002664964910514629
ACOT13	7.80951146819836e-05
ACOT2	5.534760256729273e-05
ACOT4	5.534563760557166e-05
ACOT7	0.0003217973208858796
ACOT7L	5.964713748497033e-08
ACOT8	0.0004858016461664487
ACOT9	3.6581812147717815e-06
ACOX1	0.00039244914724660706
ACOX2	0.00027383124670257453
ACOX3	0.0003227828133103948
ACP1	0.0005558959044048669
ACP5	0.001301418748776509
ACP6	4.403053234322727e-05
ACPP	6.959940149806912e-05
ACR	4.506908179603793e-06
ACRV1	1.6377249053355689e-06
ACSBG1	0.00036245522611248824
ACSBG2	0.0002508134876800998
ACSF2	8.089236574063636e-05
ACSF3	0.00011467022271567998
ACSL1	0.00026597392835679635
ACSL3	0.0002875455363308567
ACSL4	0.00025290642594672815
ACSL5	0.0003039098742038674
ACSL6	0.0002661632255289757
ACSM1	6.219081871617126e-05
ACSM2B	7.738761199906256e-05
ACSM3	3.8681658857252215e-05
ACSM5	0.0002547709115528795
ACSS1	7.508903096919211e-05
ACSS2	0.00015287079255320242
ACSS3	1.4032034958009711e-06
ACTA1	0.003024024784605313
ACTA2	0.0024656900756776503
ACTB	0.017638512874804564
ACTBL2	0.002204488155430683
ACTC1	0.00182057595075962
ACTG1	0.006041017836799592
ACTG2	0.00132230039624817
ACTL6A	0.005347898882665044
ACTL6B	0.0013168090568280051
ACTL7A	7.246027707024969e-07
ACTL8	2.971108641359762e-06
ACTL9	9.117311613775939e-06
ACTN1	0.004064767118995433
ACTN2	0.003689128569658754
ACTN3	0.00302861776586269
ACTN4	0.0029894172324137474
ACTR10	0.0029274640372763967
ACTR1A	0.006589450671464935
ACTR1B	0.001880393603673677
ACTR2	0.01050207133644546
ACTR3	0.009740430379591653
ACTR3B	0.0006663246929819036
ACTR3C	0.00037329390853516753
ACTR5	0.0019355558639166457
ACTR6	6.72527231167346e-05
ACTR8	0.0017268849250034652
ACVR1	0.0032615217938597053
ACVR1B	0.0017629073017974863
ACVR1C	0.0005088751151664865
ACVR2A	0.0010282350245050431
ACVR2B	0.0011913775557732857
ACVRL1	0.001150931584668631
ACY1	0.0005637371678914056
ACY3	0.0004082261163898014
ACYP2	7.128302782074102e-06
ADA	0.0007992085475780408
ADA2	0.00015326416685049567
ADAL	9.246908540670019e-06
ADAM10	0.002603153673305855
ADAM11	3.7246588866157716e-06
ADAM12	0.0010759229078449626
ADAM15	0.001558384671826751
ADAM17	0.0026182189343106933
ADAM19	0.00019740737408098752
ADAM2	6.752462804992079e-05
ADAM20	3.7881954420435186e-06
ADAM21	2.620221167576103e-05
ADAM22	0.00026576874986416636
ADAM23	6.770867236674102e-05
ADAM28	6.806565786945818e-05
ADAM30	3.7881954420435186e-06
ADAM32	4.971316804420771e-07
ADAM33	0.0002600426035450559
ADAM3B	3.3809550366918767e-06
ADAM8	0.0003092754127271625
ADAM9	0.0007554807010794886
ADAMTS1	0.0001456523758358925
ADAMTS10	0.0002667506641022234
ADAMTS12	0.00019882503971047088
ADAMTS13	1.676657226958742e-05
ADAMTS14	8.578161676199473e-05
ADAMTS16	0.0001118872923475081
ADAMTS2	0.00020465823208437185
ADAMTS3	0.0002316805842781832
ADAMTS4	0.00011737613903337544
ADAMTS5	1.5811370517134807e-05
ADAMTS7	4.093674529626282e-07
ADAMTS8	8.973385834149871e-05
ADAMTS9	1.1590134546903323e-05
