gene	clusteringcoeff
-	0.04358765129878961
16-5-5	0.3333333333333333
A0A024QYV7	0.0
A0A024R5Q1	0.06666666666666667
A0A024RA76	0.7
A0A087WWM3	0.0
A0A384ME25	0.0
A0A4E0W6L3	0.0
A1BG	0.03636363636363636
A1CF	0.05413105413105413
A2A284	0.6666666666666666
A2ABK9	0.0
A2AE51	0.0
A2BHY8	0.0
A2M	0.037587301587301586
A2NUT2	0.0
A4GNT	0.0
A6NCI0	0.0
A6ND79	0.0
A6NG51	0.045454545454545456
A6NKH4	0.0
A6NLP3	0.0
A6NLR5	0.12087912087912088
A6NN06	0.0
A6NN80	0.0
A6PW31	0.0
A6XND8	0.0
A7E1Y8	0.0
A8K008	0.16666666666666666
A8K147	0.0
A8K1F4	0.0846312077578607
A8K1V4	0.0
A8K251	0.6
A8K2I7	0.3333333333333333
A8K2R3	0.047619047619047616
A8K379	0.0
A8K3Q9	0.0
A8K4Y7	0.0
A8K5H9	0.0
A8K5M4	0.0
A8K673	0.0
A8K6G4	0.0
A8K6K1	0.0
A8K6V0	0.0
A8K8G8	0.0
A8K8Y5	0.0
A8K900	0.0
A8K932	0.10909090909090909
A8K940	0.0
A8K9C1	0.0
A8KA83	0.0
A8KAG1	0.0
A8MTJ1	0.014112903225806451
A8MWX0	0.0
A9C4B2	0.0
A9R9P8	0.0
AAAS	0.5161681110800485
AACS	0.0
AADAC	0.0
AAG1	0.4631578947368421
AAGAB	0.19047619047619047
AAK1	0.6563706563706564
AAMDC	0.3333333333333333
AAMP	0.015151515151515152
AANAT	0.07142857142857142
AAR2	0.14285714285714285
AARD	0.09523809523809523
AARS	0.14285714285714285
AARS1	0.5
AARS2	0.0
AARSD1	0.05003813882532418
AASDHPPT	0.05555555555555555
AASS	0.0
AATF	0.1026827012025902
AATK	0.16666666666666666
ABAT	0.0
ABCA1	0.037037037037037035
ABCA12	1.0
ABCA2	0.0
ABCA4	0.0
ABCA5	0.0
ABCA7	0.0
ABCB1	0.2578947368421053
ABCB11	0.0
ABCB4	0.1
ABCB5	0.7142857142857143
ABCB6	0.0
ABCB7	0.6
ABCB8	0.0
ABCC1	0.0
ABCC10	0.0
ABCC2	0.07692307692307693
ABCC3	1.0
ABCC5	0.0
ABCC6	0.0
ABCC8	0.33903133903133903
ABCC9	0.7076023391812866
ABCD1	0.39285714285714285
ABCD2	0.5238095238095238
ABCD3	0.3055555555555556
ABCD4	0.13333333333333333
ABCE1	0.10431372549019607
ABCF1	0.26666666666666666
ABCF2	0.0
ABCF3	0.03162055335968379
ABCG1	0.16666666666666666
ABCG2	0.0
ABCG4	0.07142857142857142
ABCG5	0.3
ABCG8	0.044444444444444446
ABHD1	0.0
ABHD11	0.09523809523809523
ABHD14B	0.0
ABHD15	0.0
ABHD16A	0.04929577464788732
ABHD17A	0.03296703296703297
ABHD4	0.03333333333333333
ABHD5	0.04285714285714286
ABHD6	0.0
ABHD8	0.0
ABI1	0.136765205572545
ABI2	0.0536081552356255
ABI3	0.05582603050957481
ABI3BP	0.06666666666666667
ABITRAM	0.0
ABL1	0.05679580616289477
ABL2	0.17556935817805383
ABLIM1	0.16989247311827957
ABLIM2	0.48333333333333334
ABLIM3	0.2037037037037037
ABO	0.0
ABP1	0.0
ABR	0.09
ABRA	0.16666666666666666
ABRAXAS1	0.9260504201680673
ABRAXAS2	0.2909090909090909
ABT1	0.09803921568627451
ABTB1	0.2
ABTB2	0.0
AC005324.4	0.21818181818181817
AC010132.3	0.0
AC010323.1	0.0
AC012254.2	0.07948717948717948
AC018755.2	0.0
AC073508.2	0.0
AC084337.2	0.1
AC087632.2	0.0
AC104452.1	0.07272727272727272
AC106886.6	0.1111111111111111
AC138696.1	0.0
ACAA1	0.2647058823529412
ACAA2	0.10256410256410256
ACACA	0.16996047430830039
ACACB	0.27205882352941174
ACAD11	0.0
ACAD8	0.0
ACAD9	0.927946127946128
ACADL	0.21428571428571427
ACADM	0.15555555555555556
ACADS	0.0
ACADSB	0.0
ACADVL	0.0
